CPAR2_100010			pseudogene	Contig005569_C_parapsilosis_CDC317	2388	1936	C	CAL0000155883			2012-03-12	2012-03-12				N	
CPAR2_100020		CPAG_02492	ORF|Uncharacterized	Contig005569_C_parapsilosis_CDC317	4874	2703	C	CAL0000156063		Protein of unknown function	2012-03-12	2012-03-12				N	
CPAR2_100030		CPAG_02495	ORF|Uncharacterized	Contig005569_C_parapsilosis_CDC317	6400	5135	C	CAL0000147471		Ortholog(s) have calmodulin binding, cytoskeletal protein binding, lipid binding, protein homodimerization activity	2012-03-12	2012-03-12				N	RVS167
CPAR2_100040		CPAG_02496	ORF|Uncharacterized	Contig005569_C_parapsilosis_CDC317	7050	8330	W	CAL0000144663		Ortholog(s) have indoleamine 2,3-dioxygenase activity and role in 'de novo' NAD biosynthetic process from tryptophan	2012-03-12	2012-03-12				N	BNA2
CPAR2_100050		CPAG_02497	ORF|Uncharacterized	Contig005569_C_parapsilosis_CDC317	8407	9864	W	CAL0000154887		Ortholog(s) have aminoacyl-tRNA ligase activity, role in histidyl-tRNA aminoacylation, mitochondrial translation and cytoplasm, mitochondrion localization	2012-03-12	2012-03-12				N	HTS1
CPAR2_100060		CPAG_02498	ORF|Uncharacterized	Contig005569_C_parapsilosis_CDC317	10959	9871	C	CAL0000151043		Ortholog(s) have sphingolipid delta-4 desaturase activity and role in sphingolipid biosynthetic process, sphingosine biosynthetic process	2012-03-12	2012-03-12				N	
CPAR2_100070		CPAG_02499	ORF|Uncharacterized	Contig005569_C_parapsilosis_CDC317	11431	11907	W	CAL0000148795		Has domain(s) with predicted peptidase activity	2012-03-12	2012-03-12				N	
CPAR2_100080		CPAG_02500	ORF|Uncharacterized	Contig005569_C_parapsilosis_CDC317	12168	13208	W	CAL0000153325		Ortholog(s) have role in mRNA methylation, meiotic cell cycle, negative regulation of pseudohyphal growth, premeiotic DNA replication and RNA N6-methyladenosine methyltransferase complex localization	2012-03-12	2012-03-12				N	MUM2
CPAR2_100090		CPAG_02501	ORF|Uncharacterized	Contig005569_C_parapsilosis_CDC317	14449	17340	W	CAL0000147033		Has domain(s) with predicted phospholipid binding activity	2012-03-12	2012-03-12				N	
CPAR2_100100		CPAG_02502	ORF|Uncharacterized	Contig005569_C_parapsilosis_CDC317	18125	17562	C	CAL0000147543		Ortholog(s) have ubiquitin-protein transferase activity, role in peroxisome organization, protein autoubiquitination, protein import into peroxisome matrix, receptor recycling, protein monoubiquitination and peroxisome localization	2012-03-12	2012-03-12				N	PEX4
CPAR2_100110		CPAG_02503	ORF|Uncharacterized	Contig005569_C_parapsilosis_CDC317	20286	18892	C	CAL0000149497		Ortholog(s) have 1,3-beta-glucanosyltransferase activity and role in ascospore wall beta-glucan biosynthetic process, ascospore-type prospore assembly, fungal-type cell wall (1->3)-beta-D-glucan biosynthetic process	2012-03-12	2012-03-12				N	GAS5
CPAR2_100120		CPAG_02504	ORF|Uncharacterized	Contig005569_C_parapsilosis_CDC317	22093	23424	W	CAL0000145633		Ortholog(s) have role in Golgi to vacuole transport and AP-1 adaptor complex localization	2012-03-12	2012-03-12				N	APM1
CPAR2_100130	ILV3	CPAG_02505	ORF|Uncharacterized	Contig005569_C_parapsilosis_CDC317	25413	23638	C	CAL0000156647		Ortholog(s) have dihydroxy-acid dehydratase activity and role in branched-chain amino acid biosynthetic process	2012-03-12	2012-03-12				N	ILV3
CPAR2_100140		CPAG_02506	ORF|Uncharacterized	Contig005569_C_parapsilosis_CDC317	27074	25698	C	CAL0000151367		Ortholog(s) have role in protein deneddylation and COP9 signalosome, proteasome complex, proteasome regulatory particle, lid subcomplex, proteasome storage granule localization	2012-03-12	2012-03-12				N	RPN5
CPAR2_100150		CPAG_02507	ORF|Uncharacterized	Contig005569_C_parapsilosis_CDC317	27241	30174	W	CAL0000152753		Ortholog(s) have RNA helicase activity, second spliceosomal transesterification activity and role in generation of catalytic spliceosome for second transesterification step, spliceosomal complex disassembly	2012-03-12	2012-03-12				N	PRP22
CPAR2_100160		CPAG_02508	ORF|Uncharacterized	Contig005569_C_parapsilosis_CDC317	30549	33263	W	CAL0000153047		Ortholog(s) have steryl-beta-glucosidase activity, role in ergosteryl 3-beta-D-glucoside catabolic process and cytosol localization	2012-03-12	2012-03-12				N	EGH1
